time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445500000	13.2876	2.30537	5.16011	0.363325	0.211291	lidar	2.85133	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4705	2.44039	5.04293	0.400414	0.24391	radar	11.3027	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7193	2.56146	5.07448	0.419335	0.251018	lidar	0.93439	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.94	2.67061	5.05075	0.435737	0.256124	radar	0.267089	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1687	2.82675	5.07634	0.467818	0.276914	lidar	0.917103	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.418	2.936	5.14356	0.472831	0.264109	radar	1.37833	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6231	3.01683	5.09452	0.47427	0.251777	lidar	2.03852	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.855	3.16609	5.15255	0.496302	0.259715	radar	3.95259	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0631	3.35827	5.17424	0.538527	0.291242	lidar	1.51814	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2759	3.51904	5.15556	0.566921	0.308488	radar	2.73135	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4895	3.70938	5.18689	0.60202	0.329459	lidar	0.95603	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7012	3.84244	5.17161	0.613075	0.324064	radar	0.878086	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9214	3.99216	5.18254	0.627225	0.321737	lidar	0.168212	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1182	4.15191	5.13186	0.651957	0.335604	radar	1.85632	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3156	4.34942	5.15874	0.684305	0.352053	lidar	0.584287	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
